Year;Month;Day;Hour;Production (Wh)
2005;1;1;1;0
2005;1;1;2;0
2005;1;1;3;0
2005;1;1;4;0
2005;1;1;5;0
2005;1;1;6;0
2005;1;1;7;0
2005;1;1;8;0
2005;1;1;9;0
2005;1;1;10;0
2005;1;1;11;0.29
2005;1;1;12;1.52
2005;1;1;13;0.29
2005;1;1;14;0
2005;1;1;15;0
2005;1;1;16;0
2005;1;1;17;0
2005;1;1;18;0
2005;1;1;19;0
2005;1;1;20;0
2005;1;1;21;0
2005;1;1;22;0
2005;1;1;23;0
2005;1;1;24;0
2005;1;2;1;0
2005;1;2;2;0
2005;1;2;3;0
2005;1;2;4;0
2005;1;2;5;0
2005;1;2;6;0
2005;1;2;7;0
2005;1;2;8;0
2005;1;2;9;0
2005;1;2;10;0.27
2005;1;2;11;0.27
2005;1;2;12;3.91
2005;1;2;13;170.73
2005;1;2;14;5.22
2005;1;2;15;0
2005;1;2;16;0
2005;1;2;17;0
2005;1;2;18;0
2005;1;2;19;0
2005;1;2;20;0
2005;1;2;21;0
2005;1;2;22;0
2005;1;2;23;0
2005;1;2;24;0
2005;1;3;1;0
2005;1;3;2;0
2005;1;3;3;0
2005;1;3;4;0
2005;1;3;5;0
2005;1;3;6;0
2005;1;3;7;0
2005;1;3;8;0
2005;1;3;9;0
2005;1;3;10;0
2005;1;3;11;29.74
2005;1;3;12;89.33
2005;1;3;13;196.65
2005;1;3;14;1.92
2005;1;3;15;0
2005;1;3;16;0
2005;1;3;17;0
2005;1;3;18;0
2005;1;3;19;0
2005;1;3;20;0
2005;1;3;21;0
2005;1;3;22;0
2005;1;3;23;0
2005;1;3;24;0
2005;1;4;1;0
2005;1;4;2;0
2005;1;4;3;0
2005;1;4;4;0
2005;1;4;5;0
2005;1;4;6;0
